"월소득 5분위별(1)","가계수지항목별(1)",2024.4/4,2024.4/4,2024.4/4,2025.1/4,2025.1/4,2025.1/4
"월소득 5분위별(1)","가계수지항목별(1)",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"전체 평균","가구원수",2.26,2.34,2.13,2.20,2.27,2.09
"전체 평균","가구주연령",52.95,48.66,59.87,53.44,48.53,60.92
"전체 평균","가구분포",100.00,100.00,100.00,100.00,100.00,100.00
"전체 평균","소득",4547817,5062014,3718951,4611754,5440985,3347976
"전체 평균","　경상소득",4450904,4964122,3623617,4527049,5349713,3273281
"전체 평균","　　근로소득",2826223,4225080,571319,2940258,4517601,536332
"전체 평균","　　사업소득",951715,254422,2075724,777227,196580,1662154
"전체 평균","　　재산소득",54436,41967,74535,51791,41854,66936
"전체 평균","　　이전소득",618531,442654,902039,757773,593678,1007859
"전체 평균","　비경상소득",96913,97892,95334,84705,91272,74696
"전체 평균","가계지출",3410085,3783545,2808083,3509788,4012566,2743536
"전체 평균","소비지출",2531417,2706134,2249781,2542153,2796411,2154654
"전체 평균","01.식료품 · 비주류음료",369675,360120,385079,355695,354160,358034
"전체 평균","02.주류 · 담배",35368,37505,31924,33732,36204,29963
"전체 평균","03.의류 · 신발",147673,162477,123809,104689,117842,84642
"전체 평균","04.주거 · 수도 · 광열",301785,303444,299110,355357,361979,345265
"전체 평균","05.가정용품 · 가사서비스",105644,116667,87876,101974,115882,80778
"전체 평균","06.보건",230247,224418,239643,218150,212586,226629
"전체 평균","07.교통 · 운송",284130,311934,239311,279153,336930,191100
"전체 평균","08.정보통신",159915,174030,137163,168822,188180,139320
"전체 평균","09.오락 · 문화",159753,176843,132205,151349,178311,110258
"전체 평균","10.교육",169635,208016,107768,226538,280151,144831
"전체 평균","11.음식 · 숙박",373149,427834,284999,354445,412625,265775
"전체 평균","12.기타상품 · 서비스",194766,204395,179244,196369,208468,177929
"전체 평균","비소비지출",878668,1077411,558303,967635,1216155,588882
"전체 평균","처분가능소득",3669149,3984604,3160649,3644119,4224830,2759094
"전체 평균","흑자액",1137732,1278470,910868,1101966,1428419,604440
"전체 평균","흑자율",31.0,32.1,28.8,30.2,33.8,21.9
"전체 평균","평균소비성향",69.0,67.9,71.2,69.8,66.2,78.1
